"stop_id","stop_desc"
"acc_4_231_556","Avda  Rey Juan Carlos I 85"
"acc_4_231_557","Avda  Rey Juan Carlos I SN"
"acc_4_232_558","Avda  Rey Juan Carlos I 32"
"acc_4_232_559","Avda  Rey Juan Carlos I 25"
"acc_4_232_560","Avda  Rey Juan Carlos I 25"
"acc_4_233_561","Avda  Gibraltar 2"
"acc_4_233_562","Avda  Gibraltar 13"
"acc_4_233_563","Avda de Gibraltar 2"
"acc_4_234_564","Avda  Orellana 3"
"acc_4_234_565","Avda  Orellana 3"
"acc_4_234_566","Avda  Orellana 3"
"acc_4_235_567","Calle del Cobre SN"
"acc_4_235_568","Calle  Virgen del Camino 3"
"acc_4_235_592","Calle  Virgen del Camino 1"
"acc_4_235_593","Calle  Virgen del Camino 5"
"acc_4_236_569","Avda del Mar Mediterráneo SN"
"acc_4_236_570","Calle de la Encina SN"
"acc_4_236_571","Avda del Mar Mediterráneo SN"
"acc_4_23_76","Calle de Santillana del Mar 19"
"acc_4_23_77","Avda de la Albufera 248"
"acc_4_23_78","Calle de la Albufera 246"
"acc_4_24_79","Avda de la Albufera 285"
"acc_4_24_80","Avda de la Albufera 280"
"acc_4_24_81","Avda de la Albufera 278"
"acc_4_24_82","Avda de la Albufera 285"
"acc_4_252_623","Calle de la Corbeta 12"
"acc_4_252_624","Calle de la Corbeta 14"
"acc_4_253_625","Calle de Velero 15"
"acc_4_253_626","Calle de Velero 17"
"acc_4_253_627","Calle de Pinos de Osuna 15"
"acc_4_254_628","Avda de los Poblados 91"
"acc_4_254_629","Avda de los Poblados 96"
"acc_4_254_630","Avda de los Poblados 96"
"acc_4_255_631","Avda de Carabanchel Alto 15"
"acc_4_255_632","Cllon de Rosa 15"
"acc_4_256_633","Avda de la Peseta 61"
"acc_4_256_634","Avda de la Peseta 61"
"acc_4_257_635","Calle de la Fuente de Lima 2"
"acc_4_257_636","Calle de la Fuente de Lima 2"
"acc_4_258_637","G.v. de Hortaleza 49 A"
"acc_4_258_638","Avda de la Gran Vía de Hortaleza SN"
"acc_4_259_639","Calle del Bronce 1 A"
"acc_4_25_577","Calle de Jesús del Pino 32"
"acc_4_25_83","Avda de la Democracia 1"
"acc_4_25_84","Calle de Sierra de Guadalupe 23"
"acc_4_25_85","Avda de la Democracia 1"
"acc_4_25_86","Avda de la Democracia 4"
"acc_4_260_640","Avda del Marqués de Corbera 56"
"acc_4_260_641","Avda del Marqués de Corbera 58"
"acc_4_261_474","Calle del Padre Francisco Palau y Quer SN"
"acc_4_261_642","Calle del Padre Francisco Palau y Quer SN"
"acc_4_262_643","Calle del Bambú 14"
"acc_4_262_644","Calle del Bambú 14"
"acc_4_263_645","Calle de Arturo Soria 330"
"acc_4_263_646","Calle de Arturo Soria 330"
"acc_4_264_647","Calle del Capitán Cortés 2"
"acc_4_264_648","Calle de la Costa del sol 20 D"
"acc_4_265_649","Calle de Vélez Rubio 1 D"
"acc_4_265_650","Calle de Vélez Rubio 1 D"
"acc_4_267_651","Avda de Córdoba 21"
"acc_4_267_652","Avda de Córdoba SN"
"acc_4_267_653","Avda de Córdoba SN"
"acc_4_268_654","Avda de Córdoba SN"
"acc_4_268_655","Avda de Córdoba SN"
"acc_4_269_656","Avda de la Perla 35"
"acc_4_269_657","Avda de Andalucía 20"
"acc_4_269_658","Avda de la Perla 37"
"acc_4_26_87","Paseo de Federico García Lorca 3"
"acc_4_26_88","Plaza  Sierra de gador 10"
"acc_4_26_89","Paseo de Federico García Lorca 1 B"
"acc_4_270_659","Calle de la Tertulia 17"
"acc_4_270_660","Paseo de Gigantes y Cabezudos 10"
"acc_4_270_661","Paseo de Gigantes y Cabezudos 12"
"acc_4_271_662","Calle de Santiago Amón 1"
"acc_4_271_663","Calle de Santa Petronila 3"
"acc_4_271_664","Calle de Santa Petronila 7"
"acc_4_272_665","Calle de Moncada 102"
"acc_4_272_666","Avda de Andalucía SN"
"acc_4_272_667","Calle de Moncada 101"
"acc_4_273_668","Calle del Valle de Tobalina 54"
"acc_4_273_670","Calle del Valle de Tobalina 54"
"acc_4_274_693","Calle del Retablo de Melisendra SN"
"acc_4_275_691","Avda de Monasterio de Silos 63 A"
"acc_4_275_692","Avda de Monasterio de Silos 63 A"
"acc_4_276_689","Calle de Palas de Rey 30"
"acc_4_276_690","Calle de Palas de Rey 30"
"acc_4_277_687","Ronda de la Comunicación 20"
"acc_4_277_688","Ronda de la Comunicación 20"
"acc_4_278_685","Calle de Sepúlveda 1"
"acc_4_278_686","Calle de la Granja 14"
"acc_4_279_683","Avda de la Ermita 5"
"acc_4_279_684","Avda de la Ermita 5"
"acc_4_27_90","Calle del Congosto 35"
"acc_4_27_91","Calle del Congosto 33"
"acc_4_27_92","Calle del Congosto 50"
"acc_4_280_680","Calle del Marqués de la Valdavia 21"
"acc_4_280_681","Calle del Marqués de la Valdavia 21"
"acc_4_281_678","Calle  Manuel de Falla 59"
"acc_4_281_679","Calle  Manuel de Falla 59"
"acc_4_282_676","Avda de las Lomas del Rey 2"
"acc_4_282_677","Avda de las Lomas del Rey 8"
"acc_4_283_674","Avda de la Plaza de Toros 7"
"acc_4_283_675","Avda de la Plaza de Toros 7"
"acc_4_284_671","Paseo  Europa SN"
"acc_4_284_672","Paseo  Europa SN"
"acc_4_284_673","Paseo  Europa SN"
"acc_4_285_694","Ctra de Alcobendas a Barajas SN"
"acc_4_286_710","Avda de Arcentales SN"
"acc_4_286_711","Calle de Estocolmo 91"
"acc_4_286_712","Calle de Estocolmo 91"
"acc_4_287_708","Avda de España 8"
"acc_4_287_709","Avda de España 8"
"acc_4_288_703","Calle del Doctor Fleming SN"
"acc_4_288_704","Calle de Luis Braille SN"
"acc_4_288_706","Calle de Luis Braille SN"
"acc_4_288_707","Calle del Doctor Fleming SN"
"acc_4_289_701","Calle  Honduras SN"
"acc_4_289_702","Calle  Honduras SN"
"acc_4_28_93","Calle de Alcalá 237"
"acc_4_28_94","Calle de Alcalá 237"
"acc_4_290_699","Calle de Gonzalo de Córdoba 24"
"acc_4_290_700","Calle de Gonzalo de Córdoba 26"
"acc_4_291_697","Plaza  Guernica 1"
"acc_4_291_698","Plaza  Guernica 1"
"acc_4_292_695","Avda de Algorta 12"
"acc_4_292_696","Avda de Algorta 12"
"acc_4_293_713","Avda del Ensanche de Vallecas 16"
"acc_4_293_714","Avda del Ensanche de Vallecas 16"
"acc_4_294_715","Calle de Cañada del Santísimo 45"
"acc_4_294_716","Calle de Cañada del Santísimo 45"
"acc_4_295_717","Avda del Ensanche de Vallecas 120 A"
"acc_4_295_718","Avda del Ensanche de Vallecas 120 A"
"acc_4_296_761","Camino  Labor SN"
"acc_4_296_762","Camino  Labor SN"
"acc_4_29_95","Plaza de Manuel Becerra 4"
"acc_4_29_96","Plaza de Manuel Becerra 20"
"acc_4_2_5","Calle de Bravo Murillo 324"
"acc_4_2_6","Calle de Bravo Murillo 350"
"acc_4_300_815","Calle  Concepción Arenal 1"
"acc_4_300_816","Calle  Marie Curie 5"
"acc_4_300_817","Calle  Marie Curie 5"
"acc_4_305_1045","Calle  San José 40"
"acc_4_305_1046","Calle  San José 44"
"acc_4_30_100","Avda de Felipe II 1"
"acc_4_30_101","Calle de Goya 62"
"acc_4_30_778","Calle de Goya 87"
"acc_4_30_779","Calle de Goya 87"
"acc_4_30_780","Avda de Felipe II 1"
"acc_4_30_781","Avda de Felipe II 1"
"acc_4_30_782","Calle del General Díaz Porlier 3"
"acc_4_30_97","Calle del Conde del Peñalver 2"
"acc_4_30_98","Calle de Goya 89"
"acc_4_30_99","Avda de Felipe II 12"
"acc_4_31_103","Calle de Alcalá 125"
"acc_4_322_1058","Calle de Arriaga 75"
"acc_4_322_1059","Calle de Francisco Largo Caballero 15"
"acc_4_323_1060","Plaza de Alsacia S/N"
"acc_4_323_1061","Plaza de Alsacia S/N"
"acc_4_323_1062","Avda de Guadalajara 2"
"acc_4_323_1063","Avda de Guadalajara 2"
"acc_4_324_1064","Avda de Guadalajara 110"
"acc_4_324_1065","Avda de Guadalajara 110"
"acc_4_325_1066","Calle de Suecia 44"
"acc_4_325_1067","Paseo de Ginebra 35"
"acc_4_326_1068","Avda del Ventisquero de la Condesa 28"
"acc_4_326_1069","Avda del Ventisquero de la Condesa 28"
"acc_4_32_104","Calle de Lagasca 4"
"acc_4_32_105","Calle de Lagasca 4"
"acc_4_32_106","Calle de Alcalá 60"
"acc_4_32_107","Calle de Alcalá 75"
"acc_4_33_108","Calle de Alcalá 51"
"acc_4_33_109","Calle de Alcalá 48"
"acc_4_33_110","Calle de Alcalá 46"
"acc_4_33_111","Calle de Alcalá 47"
"acc_4_345_1075","Calle de Monasterio de Las Huelgas 5"
"acc_4_345_1076","Calle de Monasterio de Las Huelgas 5"
"acc_4_34_112","Calle de Alcalá 16"
"acc_4_34_113","Calle de Alcalá 21"
"acc_4_34_114","Calle de Alcalá 23"
"acc_4_36_1054","Plaza de Isabel II 9"
"acc_4_36_1056","Plaza de Isabel II 5"
"acc_4_36_1057","Plaza de Isabel II 8"
"acc_4_37_116","Plaza de Santo Domingo 6"
"acc_4_37_117","Calle  Gran Vía 51"
"acc_4_38_118","Calle de San Bernardo 45"
"acc_4_38_119","Calle de San Bernardo 51"
"acc_4_39_120","Gta de Ruiz Jiménez 2"
"acc_4_39_121","Gta de Ruiz Jiménez 5"
"acc_4_3_7","Calle de Bravo Murillo 269"
"acc_4_3_8","Calle del General Margallo 2"
"acc_4_40_122","Gta de Quevedo 2"
"acc_4_40_123","Gta de Quevedo 1"
"acc_4_41_124","Calle de Bravo Murillo 40"
"acc_4_41_125","Calle de Bravo Murillo 47"
