"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"4__10_A___1__IT_1","40.3825052701451","-3.78546807048314","18000009"
"4__10_A___1__IT_1","40.3828626632732","-3.78506930765166","18000008"
"4__10_A___1__IT_1","40.3838257260615","-3.78399413790731","18000007"
"4__10_A___1__IT_1","40.3839421947706","-3.78386424451595","18000006"
"4__10_A___1__IT_1","40.3841062380891","-3.78367976475884","18000005"
"4__10_A___1__IT_1","40.3842045711655","-3.78356662749334","18000004"
"4__10_A___1__IT_1","40.3842775849523","-3.78348076351077","18000003"
"4__10_A___1__IT_1","40.3843498861069","-3.78339382841689","18000002"
"4__10_A___1__IT_1","40.3843974890358","-3.78333559133341","17000164"
"4__10_A___1__IT_1","40.3843974890358","-3.78333559133341","18000001"
"4__10_A___1__IT_1","40.384468182135","-3.78324663566348","17000163"
"4__10_A___1__IT_1","40.3845377102488","-3.78315648936321","17000162"
"4__10_A___1__IT_1","40.3846061693593","-3.78306468111427","17000161"
"4__10_A___1__IT_1","40.3846510018765","-3.78300311155066","17000160"
"4__10_A___1__IT_1","40.3847174926902","-3.7829093951903","17000159"
"4__10_A___1__IT_1","40.3847609833388","-3.78284627831297","17000158"
"4__10_A___1__IT_1","40.3848255956131","-3.78275030262159","17000157"
"4__10_A___1__IT_1","40.3848889573301","-3.78265313177968","17000156"
"4__10_A___1__IT_1","40.3849511539468","-3.78255465132075","17000155"
"4__10_A___1__IT_1","40.3850122800317","-3.78245486469679","17000154"
"4__10_A___1__IT_1","40.3850522859732","-3.78238758344456","17000153"
"4__10_A___1__IT_1","40.3850805419837","-3.78233885146678","17000152"
"4__10_A___1__IT_1","40.3851115343136","-3.78228541615952","17000151"
"4__10_A___1__IT_1","40.3851698020924","-3.78218182593932","17000150"
"4__10_A___1__IT_1","40.3852079310442","-3.78211204973825","17000149"
"4__10_A___1__IT_1","40.3852640512116","-3.78200654935471","17000148"
"4__10_A___1__IT_1","40.3853006567159","-3.78193569383276","17000147"
"4__10_A___1__IT_1","40.3853542646334","-3.78182851470755","17000146"
"4__10_A___1__IT_1","40.3854067969356","-3.78172037810446","17000145"
"4__10_A___1__IT_1","40.385457985943","-3.78161116665191","17000144"
"4__10_A___1__IT_1","40.3854913614034","-3.7815379194408","17000143"
"4__10_A___1__IT_1","40.3855242932117","-3.78146419223645","17000142"
"4__10_A___1__IT_1","40.385556505768","-3.78139010673837","17000141"
"4__10_A___1__IT_1","40.3856191385291","-3.78124038087098","17000140"
"4__10_A___1__IT_1","40.3856495562315","-3.78116497728336","17000139"
"4__10_A___1__IT_1","40.3856883381198","-3.78106540034859","17000138"
