"shape_id","shape_pt_lat","shape_pt_sequence"
"4__8____2__IT_1","40.4707907695513","2000094"
"4__8____2__IT_1","40.4708005182336","2000093"
"4__8____2__IT_1","40.4708100885319","2000092"
"4__8____2__IT_1","40.470819655821","2000091"
"4__8____2__IT_1","40.4708291345441","2000090"
"4__8____2__IT_1","40.4708385234956","2000089"
"4__8____2__IT_1","40.4708479082747","2000088"
"4__8____2__IT_1","40.4708664126284","2000087"
"4__8____2__IT_1","40.4708756169496","2000086"
"4__8____2__IT_1","40.4709026034919","2000085"
"4__8____2__IT_1","40.470911539981","2000084"
"4__8____2__IT_1","40.470920293593","2000083"
"4__8____2__IT_1","40.4709291363883","2000082"
"4__8____2__IT_1","40.4709976305796","2000081"
"4__8____2__IT_1","40.4710640415143","2000080"
"4__8____2__IT_1","40.4711364027042","2000079"
"4__8____2__IT_1","40.4713832528065","2000078"
"4__8____2__IT_1","40.4716307190781","2000077"
"4__8____2__IT_1","40.4716383026043","2000076"
"4__8____2__IT_1","40.4716534659918","2000075"
"4__8____2__IT_1","40.4716610500921","2000074"
"4__8____2__IT_1","40.4716687224748","2000073"
"4__8____2__IT_1","40.4716914702532","2000072"
"4__8____2__IT_1","40.4716991417269","2000071"
"4__8____2__IT_1","40.471721889481","2000070"
"4__8____2__IT_1","40.4717295636492","2000069"
"4__8____2__IT_1","40.47173714386","2000068"
"4__8____2__IT_1","40.4717447267225","2000067"
"4__8____2__IT_1","40.4717523107986","2000066"
"4__8____2__IT_1","40.4717599822561","2000065"
"4__8____2__IT_1","40.4717827299616","2000064"
"4__8____2__IT_1","40.471790401411","2000063"
"4__8____2__IT_1","40.471805567735","2000062"
"4__8____2__IT_1","40.4718132391783","2000061"
"4__8____2__IT_1","40.4718359868413","2000060"
"4__8____2__IT_1","40.471843660985","2000059"
"4__8____2__IT_1","40.4718588245781","2000058"
"4__8____2__IT_1","40.471866497809","2000057"
"4__8____2__IT_1","40.47188166139","2000056"
"4__8____2__IT_1","40.4718830888191","2000055"
"4__8____2__IT_1","40.4718893355157","2000054"
"4__8____2__IT_1","40.4719044990845","2000053"
"4__8____2__IT_1","40.4719121732041","2000052"
"4__8____2__IT_1","40.4719273367607","2000051"
