"stop_id","stop_desc","stop_lat","stop_lon","location_type","wheelchair_boarding"
"par_4_51","","40.42709","-3.71341","0","2"
"par_4_52","","40.43066","-3.71596","0","0"
"par_4_53","","40.43502","-3.71945","0","2"
"par_4_54","","40.4306","-3.71596","0","0"
"par_4_55","","40.42966","-3.70567","0","0"
"par_4_56","","40.42885","-3.70114","0","0"
"par_4_57","","40.42772","-3.69594","0","0"
"par_4_58","","40.42542","-3.69101","0","0"
"par_4_59","","40.42543","-3.68663","0","0"
"par_4_6","","40.44697","-3.70397","0","2"
"par_4_60","","40.42503","-3.68292","0","0"
"par_4_61","","40.42481","-3.67685","0","2"
"par_4_62","","40.42917","-3.67541","0","0"
"par_4_63","","40.43468","-3.67495","0","0"
"par_4_64","","40.43803","-3.67664","0","0"
"par_4_65","","40.44419","-3.67482","0","0"
"par_4_66","","40.44825","-3.66791","0","0"
"par_4_67","","40.45354","-3.66118","0","0"
"par_4_68","","40.45583","-3.65618","0","0"
"par_4_69","","40.45945","-3.64582","0","0"
"par_4_7","","40.44198","-3.70133","0","0"
"par_4_70","","40.46381","-3.6356","0","2"
"par_4_71","","40.46943","-3.63832","0","2"
"par_4_72","","40.47447","-3.63958","0","2"
"par_4_73","","40.47711","-3.64524","0","2"
"par_4_74","","40.44942","-3.60816","0","0"
"par_4_75","","40.44374","-3.61699","0","0"
"par_4_76","","40.44085","-3.62684","0","0"
"par_4_77","","40.43805","-3.63816","0","0"
"par_4_78","","40.43569","-3.64282","0","0"
"par_4_79","","40.43358","-3.64736","0","0"
"par_4_8","","40.43492","-3.69898","0","2"
"par_4_80","","40.43189","-3.65757","0","0"
"par_4_81","","40.43088","-3.66361","0","0"
"par_4_82","","40.43235","-3.67426","0","0"
"par_4_83","","40.43278","-3.68258","0","0"
"par_4_84","","40.43316","-3.68954","0","0"
"par_4_85","","40.42828","-3.69502","0","0"
"par_4_86","","40.42293","-3.69762","0","0"
"par_4_87","","40.41999","-3.7018","0","0"
"par_4_88","","40.42008","-3.70566","0","2"
"par_4_89","","40.41809","-3.70935","0","0"
"par_4_9","","40.42906","-3.70218","0","0"
"par_4_90","","40.41128","-3.70816","0","0"
"par_4_91","","40.40704","-3.71105","0","0"
"par_4_92","","40.40387","-3.70664","0","0"
"par_4_93","","40.4026","-3.71138","0","2"
"par_4_94","","40.39736","-3.71596","0","0"
"par_4_95","","40.39335","-3.7236","0","0"
"par_4_96","","40.38846","-3.73132","0","0"
"par_4_97","","40.38885","-3.73982","0","0"
"par_4_98","","40.38783","-3.74487","0","0"
"par_4_99","","40.38439","-3.75121","0","2"
