"stop_id","stop_name"
"acc_4_175_441","Camino de los Vinateros impares"
"acc_4_175_442","Camino de los Vinateros pares"
"acc_4_175_443","Estrella Polar"
"acc_4_176_444","Vinateros impares"
"acc_4_176_445","Corregidor José de Pasamonte"
"acc_4_176_446","Vinateros pares"
"acc_4_176_447","Arroyo Belincoso"
"acc_4_177_448","Vinateros impares"
"acc_4_177_449","Vinateros pares"
"acc_4_177_450","Vinateros"
"acc_4_177_451","Pico de Artilleros"
"acc_4_178_452","Hacienda de Pavones impares"
"acc_4_178_453","Hacienda de Pavones pares"
"acc_4_178_803","Terminal Autobuses"
"acc_4_179_454","Bulevar Indalecio Prieto - Raya"
"acc_4_179_455","Ascensor"
"acc_4_179_456","Bulevar Indalecio Prieto - Los Pinilla"
"acc_4_17_57","Menéndez Pelayo impares"
"acc_4_17_58","Menéndez Pelayo pares"
"acc_4_17_59","Gutenberg"
"acc_4_180_457","Pº Artilleros impares"
"acc_4_180_458","Pº Artilleros pares"
"acc_4_180_459","Ascensor"
"acc_4_181_460","San Cipriano pares"
"acc_4_181_461","San Cipriano impares"
"acc_4_181_462","Ascensor"
"acc_4_182_463","Terminal de Autobuses"
"acc_4_182_464","Terminal Autobús - RENFE"
"acc_4_182_465","Ascensor no acceso independiente"
"acc_4_183_467","Pº Ferrocarril"
"acc_4_184_468","Wenceslao Garcia"
"acc_4_185_469","Ctra. Campo Real"
"acc_4_186_470","Pº de la Estación"
"acc_4_187_471","Barrio Sta. Ana"
"acc_4_188_472","Cdad. Sanitaria La Paz"
"acc_4_188_473","San Modesto"
"acc_4_18_1050","Ascensor"
"acc_4_18_60","Doctor Esquerdo pares"
"acc_4_18_61","Doctor Esquerdo impares"
"acc_4_18_62","Sánchez Barcaíztegui"
"acc_4_191_475","Paseo Castellana impares"
"acc_4_191_476","Paseo Castellana pares"
"acc_4_192_477","Plaza de Lima"
"acc_4_192_478","Paseo Castellana pares"
"acc_4_192_479","Paseo Castellana impares"
"acc_4_192_480","Paseo Castellana pares"
"acc_4_199_481","El Lago"
"acc_4_19_63","Albufera pares"
"acc_4_19_64","Albufera impares"
"acc_4_19_65","Peña Prieta"
"acc_4_1_1","Plaza de Castilla"
"acc_4_1_1040","Ascensor"
"acc_4_1_1043","Intercambiador Superficie"
"acc_4_1_1044","Ascensor"
"acc_4_1_2","Castellana impares"
