"interaction","gene","title","cosmid"
"","http://bio2rdf.org/wormbase:WBGene00165007","WBGene00165007 (21ur-5517)","F02H6.34"
"","http://bio2rdf.org/wormbase:WBGene00165009","WBGene00165009 (21ur-11798)","B0273.39"
"","http://bio2rdf.org/wormbase:WBGene00165010","WBGene00165010 (21ur-6438)","Y67A10A.147"
"","http://bio2rdf.org/wormbase:WBGene00165011","WBGene00165011 (21ur-14214)","H08M01.56"
"","http://bio2rdf.org/wormbase:WBGene00165012","WBGene00165012 (21ur-13773)","Y51H4A.406"
"","http://bio2rdf.org/wormbase:WBGene00165013","WBGene00165013 (21ur-14731)","ZC477.11"
"","http://bio2rdf.org/wormbase:WBGene00165014","WBGene00165014 (21ur-13331)","Y57G11B.98"
"","http://bio2rdf.org/wormbase:WBGene00165015","WBGene00165015 (21ur-12098)","H12I19.52"
"","http://bio2rdf.org/wormbase:WBGene00165016","WBGene00165016 (21ur-14343)","C06G8.5"
"","http://bio2rdf.org/wormbase:WBGene00165017","WBGene00165017 (21ur-5533)","W03F8.34"
"","http://bio2rdf.org/wormbase:WBGene00165018","WBGene00165018 (21ur-8237)","H12I19.53"
"","http://bio2rdf.org/wormbase:WBGene00165019","WBGene00165019 (21ur-11415)","Y105C5A.511"
"","http://bio2rdf.org/wormbase:WBGene00165020","WBGene00165020 (21ur-10381)","Y40H7A.150"
"","http://bio2rdf.org/wormbase:WBGene00165021","WBGene00165021 (21ur-8417)","F55B11.60"
"","http://bio2rdf.org/wormbase:WBGene00165022","WBGene00165022 (21ur-7663)","Y105C5A.512"
"","http://bio2rdf.org/wormbase:WBGene00165023","WBGene00165023 (21ur-13460)","Y105C5B.613"
"","http://bio2rdf.org/wormbase:WBGene00165024","WBGene00165024 (21ur-13551)","Y7A9A.28"
"","http://bio2rdf.org/wormbase:WBGene00165025","WBGene00165025 (21ur-6855)","Y45F10B.30"
"","http://bio2rdf.org/wormbase:WBGene00165026","WBGene00165026 (21ur-9589)","C03C11.3"
