"stop_id","stop_name","location_type","parent_station"
"acc_4_14_47","Magdalena","2","est_4_14"
"acc_4_14_49","Atocha impares","2","est_4_14"
"acc_4_14_50","Atocha pares","2","est_4_14"
"acc_4_150_384","Vereda de Ganapanes impares","2","est_4_150"
"acc_4_150_385","Vereda de Ganapanes pares","2","est_4_150"
"acc_4_150_386","Ascensor","2","est_4_150"
"acc_4_151_387","Islas Cíes","2","est_4_151"
"acc_4_151_388","Ascensor","2","est_4_151"
"acc_4_152_389","Ramón Gómez de la Serna","2","est_4_152"
"acc_4_152_390","Riscos de Polanco","2","est_4_152"
"acc_4_152_391","Ascensor","2","est_4_152"
"acc_4_154_392","Camino de Peñagrande","2","est_4_154"
"acc_4_154_394","Ascensor","2","est_4_154"
"acc_4_156_409","Príncipe de Vergara impares - Colombia","2","est_4_156"
"acc_4_156_410","Príncipe de Vergara pares - Colombia","2","est_4_156"
"acc_4_156_411","Príncipe de Vergara impares - Pza. Rep. Dominicana","2","est_4_156"
"acc_4_156_412","Príncipe de Vergara pares - Pza. Rep. Dominicana","2","est_4_156"
"acc_4_156_413","Ascensor","2","est_4_156"
"acc_4_158_414","Avda. Capital de España-Madrid","2","est_4_158"
"acc_4_158_415","Feria de Madrid pabellones impares","2","est_4_158"
"acc_4_158_416","Feria de Madrid pabellones pares","2","est_4_158"
"acc_4_158_417","Ascensor","2","est_4_158"
"acc_4_159_418","Terminales 123","2","est_90_34"
"acc_4_159_419","Ascensor","2","est_90_34"
"acc_4_159_420","Ascensor","2","est_90_34"
"acc_4_15_51","Atocha","2","est_4_15"
"acc_4_15_52","Ministerio","2","est_4_15"
"acc_4_160_421","Avda. Logroño","2","est_4_160"
"acc_4_160_422","Ascensor","2","est_4_160"
"acc_4_161_423","Ginzo de Limia","2","est_4_161"
"acc_4_161_424","Cardenal Herrera Oria","2","est_4_161"
"acc_4_162_425","Ginzo de Limia impares","2","est_4_162"
"acc_4_162_426","Ginzo de Limia pares","2","est_4_162"
"acc_4_162_427","Melchor Fernández Almagro","2","est_4_162"
"acc_4_162_428","Ginzo de Limia pares","2","est_4_162"
"acc_4_163_429","Avda. Asturias impares","2","est_4_163"
"acc_4_163_430","Avda. Asturias pares","2","est_4_163"
"acc_4_165_431","Mateo Inurria","2","est_4_165"
"acc_4_166_432","Avda. de Pío XII","2","est_4_166"
"acc_4_166_433","Avda. de Pío XII","2","est_4_166"
"acc_4_168_434","Plaza de Cataluña","2","est_4_168"
"acc_4_168_435","Príncipe de Vergara","2","est_4_168"
"acc_4_169_436","Príncipe de Vergara pares","2","est_4_169"
"acc_4_169_437","Príncipe de Vergara impares","2","est_4_169"
"acc_4_169_438","Príncipe de Vergara impares","2","est_4_169"
"acc_4_169_439","Príncipe de Vergara pares","2","est_4_169"
"acc_4_16_53","Alfonso XII","2","est_90_54"
"acc_4_16_54","Paseo Infanta Isabel","2","est_90_54"
"acc_4_16_572","Ascensor","2","est_90_54"
"acc_4_173_440","Ibiza","2","est_4_173"
"acc_4_175_441","Camino de los Vinateros impares","2","est_4_175"
"acc_4_175_442","Camino de los Vinateros pares","2","est_4_175"
"acc_4_175_443","Estrella Polar","2","est_4_175"
"acc_4_176_444","Vinateros impares","2","est_4_176"
"acc_4_176_445","Corregidor José de Pasamonte","2","est_4_176"
"acc_4_176_446","Vinateros pares","2","est_4_176"
"acc_4_176_447","Arroyo Belincoso","2","est_4_176"
"acc_4_177_448","Vinateros impares","2","est_4_177"
"acc_4_177_449","Vinateros pares","2","est_4_177"
"acc_4_177_450","Vinateros","2","est_4_177"
